id,carat,cut,color,clarity,depth,table,x,y,z,price
89301,0.42,Ideal,G,VS2,61.9,56.0,4.84,4.78,2.97,1113
48079,0.37,Good,E,SI1,63.5,56.0,4.51,4.55,2.9,715
147072,0.3,Ideal,G,VS2,61.9,56.0,4.3,4.32,2.67,526
51590,1.09,Very Good,H,SI1,60.6,57.0,6.68,6.72,4.06,5236
120566,0.32,Premium,G,VVS1,61.6,58.0,4.43,4.4,2.71,1080
33663,0.7,Very Good,J,VS1,62.1,58.0,5.64,5.68,3.51,1926
132340,0.72,Ideal,H,SI2,61.7,57.0,5.7,5.77,3.54,2155
46594,1.5,Premium,E,SI1,61.2,59.0,7.32,7.37,4.5,10728
164691,1.0,Good,H,VS1,57.5,62.0,6.42,6.48,3.7,4201
91215,1.23,Premium,H,SI1,61.7,58.0,6.83,6.85,4.22,6766
161829,1.32,Very Good,H,SI2,62.1,60.0,7.01,6.95,4.32,8194
117163,2.03,Premium,I,VS2,61.6,56.0,8.19,8.1,5.01,16068
51663,0.31,Premium,D,VS2,61.9,59.0,4.34,4.37,2.7,734
146832,0.31,Ideal,G,IF,61.4,57.0,4.39,4.42,2.7,924
940,0.54,Ideal,G,VVS2,61.6,56.0,5.24,5.24,3.23,1841
151745,1.03,Premium,E,SI1,61.5,60.0,6.52,6.47,3.99,6533
21023,0.31,Very Good,J,VVS1,62.9,58.0,4.29,4.33,2.72,413
2386,0.9,Good,E,SI1,62.2,62.0,6.08,6.11,3.79,4211
159868,0.31,Ideal,F,VS2,61.3,56.0,4.34,4.38,2.68,673
53275,0.57,Very Good,E,SI1,62.9,56.0,5.31,5.35,3.35,1651
175767,0.41,Ideal,E,VS2,62.3,55.0,4.74,4.76,2.96,1033
108866,1.22,Very Good,D,SI2,60.6,57.0,6.91,6.96,4.21,6350
155938,0.7,Very Good,H,VS2,62.2,57.0,5.66,5.69,3.52,2419
187850,1.01,Good,D,SI1,58.2,60.0,6.49,6.53,3.78,5987
147494,0.32,Ideal,D,VS2,62.1,54.0,4.38,4.41,2.73,850
59571,0.3,Ideal,G,VVS2,62.3,57.0,4.27,4.3,2.67,686
21143,0.32,Good,G,VS1,63.2,57.0,4.38,4.36,2.76,645
82193,1.01,Ideal,J,VS1,61.7,55.0,6.46,6.5,3.99,4368
82611,0.7,Premium,D,VS2,59.3,59.0,5.83,5.86,3.46,3092
62166,0.75,Very Good,E,VS2,60.2,59.0,5.91,5.95,3.57,3052
97879,0.32,Very Good,F,VS2,62.8,56.0,4.33,4.36,2.73,645
136053,0.41,Premium,D,SI2,60.3,60.0,4.8,4.78,2.89,795
37330,0.36,Premium,E,VS2,60.5,59.0,4.58,4.54,2.76,723
162347,0.3,Premium,D,VS2,61.0,58.0,4.33,4.3,2.63,911
15995,0.32,Ideal,G,VVS1,61.4,57.0,4.4,4.44,2.71,812
112875,0.75,Ideal,F,SI1,61.6,55.0,5.84,5.88,3.61,2994
88524,0.71,Premium,D,VS2,60.6,60.0,5.79,5.74,3.49,3080
161662,1.01,Premium,E,SI2,61.9,58.0,6.42,6.4,3.97,3801
34918,0.7,Very Good,H,VS2,63.5,57.0,5.59,5.61,3.55,2091
10696,0.41,Very Good,F,VS1,59.8,56.0,4.84,4.87,2.91,1007
103162,0.28,Ideal,H,VVS2,61.9,54.0,4.18,4.21,2.6,526
170855,0.31,Ideal,J,SI2,62.1,56.0,4.35,4.38,2.71,335
189326,1.02,Ideal,H,SI1,62.9,57.0,6.38,6.4,4.02,4604
135530,2.29,Premium,I,SI2,60.4,58.0,8.47,8.52,5.11,15528
109540,0.35,Ideal,G,VS2,62.6,57.0,4.49,4.52,2.82,581
87081,0.4,Premium,E,SI1,62.7,58.0,4.73,4.74,2.97,882
192899,0.52,Ideal,E,VS2,61.7,56.0,5.17,5.14,3.18,1679
82492,0.41,Premium,E,VS1,58.0,61.0,4.9,4.88,2.81,1079
75751,0.7,Premium,F,VS1,59.2,60.0,5.77,5.8,3.43,3357
66156,2.02,Premium,H,SI1,61.8,61.0,8.1,8.05,5.0,15695
128884,1.39,Ideal,G,SI1,62.1,56.0,7.16,7.2,4.44,9702
133332,0.81,Ideal,D,SI2,61.9,57.0,5.95,5.98,3.69,2804
147834,0.34,Very Good,D,SI1,62.9,58.0,4.43,4.48,2.8,626
142879,0.7,Very Good,H,VS1,62.2,56.0,5.64,5.68,3.53,2482
109014,2.01,Premium,H,VS2,61.4,60.0,8.15,8.05,4.97,18215
87433,1.51,Very Good,J,SI1,62.5,57.0,7.29,7.25,4.54,7356
57638,0.9,Very Good,E,SI1,63.6,54.0,6.12,6.09,3.89,3318
113786,0.52,Ideal,E,VS2,61.7,55.0,5.2,5.16,3.2,1815
2940,0.32,Premium,H,VS2,61.4,59.0,4.42,4.45,2.73,505
51349,0.31,Ideal,F,VVS1,61.0,56.0,4.38,4.41,2.68,859
118249,0.33,Very Good,G,VVS2,62.7,54.0,4.42,4.47,2.79,638
168059,1.23,Fair,F,SI1,64.5,59.0,6.73,6.66,4.33,6890
128586,1.06,Ideal,I,VVS2,61.8,57.0,6.57,6.53,4.04,5547
139742,2.08,Very Good,I,SI2,59.8,63.0,8.21,8.25,4.96,13287
9398,0.33,Ideal,D,VS2,62.7,57.0,4.41,4.41,2.77,874
42273,1.31,Ideal,F,SI2,61.9,57.0,7.05,6.96,4.34,6751
58239,0.31,Premium,H,SI2,62.0,58.0,4.35,4.4,2.72,435
172475,0.9,Premium,G,SI1,62.7,58.0,6.15,6.18,3.86,3634
98026,0.71,Very Good,E,SI1,59.2,63.0,5.8,5.84,3.46,2737
102555,0.5,Ideal,E,VS1,61.7,59.0,5.09,5.11,3.15,2034
26420,1.17,Ideal,I,VS2,62.4,56.0,6.7,6.8,4.21,6097
124975,0.38,Very Good,I,VS1,61.6,55.1,4.66,4.7,2.88,703
186622,0.55,Ideal,G,VS2,62.5,57.0,5.26,5.29,3.3,1615
48135,1.5,Ideal,F,VS2,61.6,55.0,7.39,7.37,4.54,14863
156263,0.42,Premium,G,IF,61.9,59.0,4.8,4.82,2.97,1400
80314,0.31,Ideal,G,SI1,61.8,56.0,4.35,4.37,2.69,516
192848,0.5,Premium,E,SI1,61.9,58.0,5.18,5.11,3.18,1410
2934,2.07,Good,I,SI2,63.5,62.0,8.09,7.99,5.1,10957
151056,0.7,Premium,E,VS2,61.4,58.0,5.75,5.69,3.51,2737
41045,1.03,Very Good,G,SI1,63.0,58.0,6.38,6.41,4.03,4679
177058,0.38,Ideal,D,VS2,62.0,57.0,4.64,4.69,2.89,871
165501,2.28,Ideal,I,SI2,61.4,55.0,8.39,8.43,5.18,15730
149534,0.3,Good,F,SI2,64.0,58.0,4.23,4.24,2.69,368
143003,0.7,Good,D,SI2,63.4,58.0,5.56,5.6,3.55,2588
73214,0.37,Premium,G,SI1,61.0,60.0,4.57,4.61,2.8,611
123131,0.51,Premium,E,VS2,62.7,58.0,5.07,5.12,3.19,1720
5091,1.06,Ideal,G,VVS2,61.8,57.0,6.53,6.55,4.04,8911
133627,0.32,Ideal,E,VS1,61.8,55.0,4.42,4.45,2.74,800
164601,0.35,Ideal,G,VS1,62.2,56.0,4.54,4.51,2.81,706
98570,1.0,Good,G,VVS2,62.3,61.0,6.32,6.38,3.95,7959
65794,0.7,Ideal,G,VVS1,61.6,55.0,5.71,5.79,3.54,3520
48651,1.02,Premium,D,SI1,61.3,60.0,6.46,6.44,3.96,5731
13173,2.03,Premium,I,SI1,60.9,58.0,8.11,8.07,4.94,14414
121843,0.9,Very Good,F,SI2,62.1,59.0,6.11,6.11,3.79,3534
17542,1.01,Premium,G,SI2,62.7,59.0,6.39,6.35,3.99,4060
70911,0.33,Premium,H,VVS2,60.1,58.0,4.5,4.52,2.7,854
13543,0.32,Ideal,E,VS2,61.3,55.0,4.42,4.45,2.71,726
39581,1.03,Premium,G,SI1,62.3,60.0,6.44,6.42,4.01,4855
185478,1.9,Good,I,VS1,59.7,64.0,7.93,8.07,4.77,16842
61918,1.51,Ideal,D,SI1,61.8,54.0,7.37,7.41,4.57,14860
149633,0.52,Ideal,E,SI2,62.1,57.0,5.19,5.15,3.22,1141
111183,0.87,Ideal,J,SI1,62.5,57.0,6.07,6.14,3.82,2012
144224,0.35,Very Good,E,VS2,60.8,55.0,4.57,4.63,2.8,882
33134,0.43,Premium,H,SI1,62.2,57.0,4.83,4.8,3.0,1016
22240,0.3,Very Good,H,VS2,62.0,59.0,4.29,4.35,2.68,473
126235,0.41,Very Good,G,SI1,62.3,59.0,4.79,4.78,2.98,719
1220,0.9,Very Good,H,VVS2,62.1,56.0,6.15,6.17,3.83,4389
52683,0.41,Ideal,E,VS1,61.9,56.0,4.76,4.78,2.95,1079
131930,0.9,Good,I,VS2,62.4,57.0,6.12,6.17,3.84,3668
95025,0.91,Very Good,G,SI1,63.1,57.0,6.12,6.16,3.87,3932
43152,0.31,Ideal,E,VS2,61.9,53.0,4.36,4.4,2.71,642
137249,0.9,Premium,H,SI1,62.3,58.0,6.13,6.18,3.84,3400
70806,0.36,Ideal,H,SI2,61.2,57.0,4.56,4.59,2.8,534
159677,1.04,Premium,H,VVS2,61.9,58.0,6.5,6.48,4.02,9041
84983,0.9,Premium,E,SI2,62.6,58.0,6.16,6.13,3.84,3662
127030,2.01,Very Good,F,SI2,63.3,59.0,7.8,7.84,4.94,15984
74599,0.9,Very Good,F,SI1,63.6,61.0,6.18,6.13,3.91,2737
51214,0.38,Very Good,H,VVS2,62.8,55.0,4.62,4.67,2.92,888
125739,1.51,Premium,F,VS1,62.0,58.0,7.34,7.4,4.56,15291
4053,0.41,Ideal,E,VS1,60.3,56.0,4.82,4.86,2.92,1051
147173,0.72,Very Good,F,SI1,63.1,56.0,5.68,5.72,3.6,2452
59292,0.3,Ideal,I,VVS2,61.7,56.0,4.3,4.32,2.66,571
121987,1.0,Very Good,G,SI1,63.4,56.0,6.33,6.37,4.03,4317
95894,0.34,Premium,I,SI1,60.8,59.0,4.48,4.51,2.73,574
8176,1.22,Ideal,G,VS2,61.5,59.0,6.87,6.9,4.24,8452
32921,0.41,Premium,I,VVS1,61.6,60.0,4.84,4.79,2.97,1107
147188,0.54,Premium,H,VVS1,61.2,58.0,5.24,5.26,3.22,1942
110886,1.01,Ideal,G,VS1,60.7,57.0,6.52,6.56,3.97,7438
121270,1.0,Premium,D,VS2,61.7,58.0,6.46,6.41,3.97,7106
51720,0.41,Ideal,G,SI1,60.9,55.0,4.79,4.83,2.93,918
41694,0.52,Very Good,E,VS2,62.2,56.0,5.15,5.2,3.22,1670
147504,0.23,Ideal,H,VVS2,61.5,55.0,3.96,3.98,2.44,473
19497,0.3,Ideal,F,VVS1,62.5,54.0,4.31,4.34,2.7,882
61412,1.5,Ideal,J,VS1,62.9,57.0,7.31,7.27,4.58,7392
78920,1.39,Very Good,G,IF,61.5,61.0,7.13,7.2,4.37,12779
191243,1.09,Very Good,F,VS2,62.5,58.0,6.55,6.6,4.1,7225
172598,0.27,Very Good,H,VVS1,62.0,53.0,4.14,4.16,2.58,521
152611,1.7,Ideal,G,VS2,61.8,55.0,7.61,7.64,4.7,15665
133160,2.04,Premium,G,SI1,60.8,60.0,8.24,8.17,4.97,18419
151666,0.33,Premium,J,VS1,61.1,58.0,4.47,4.43,2.72,557
142401,0.33,Premium,D,VS1,59.0,59.0,4.56,4.52,2.68,1109
59927,1.01,Good,G,VS2,63.1,60.0,6.31,6.39,4.01,5204
82603,0.7,Good,F,SI1,63.8,58.0,5.58,5.62,3.57,1978
175361,0.59,Premium,D,SI1,62.7,59.0,5.37,5.33,3.35,2012
150157,2.01,Premium,H,SI1,60.4,58.0,8.12,8.19,4.91,18648
44426,0.32,Ideal,D,VS2,61.4,55.0,4.45,4.48,2.73,873
139676,1.2,Ideal,G,VS2,62.0,56.0,6.77,6.82,4.21,6951
187692,1.15,Ideal,F,SI2,62.0,56.0,6.79,6.73,4.19,4077
85719,1.51,Premium,E,SI1,62.2,60.0,7.24,7.21,4.51,11067
56748,0.41,Ideal,G,VVS1,62.3,57.0,4.74,4.76,2.96,1179
175532,1.03,Ideal,D,SI1,62.5,57.0,6.45,6.43,4.03,5631
159819,0.31,Ideal,F,VVS1,61.4,56.0,4.35,4.33,2.67,1021
126850,1.11,Premium,H,VS2,61.4,60.0,6.69,6.64,4.09,6284
181950,1.02,Ideal,E,SI1,61.6,55.0,6.46,6.5,3.98,6026
129489,0.72,Premium,D,SI1,60.9,58.0,5.82,5.79,3.53,3024
50675,1.2,Very Good,D,SI1,62.9,57.0,6.74,6.71,4.23,5879
138975,0.76,Ideal,I,VS1,61.8,57.0,5.87,5.83,3.62,2381
161242,0.41,Ideal,G,IF,60.6,57.0,4.81,4.85,2.93,1055
31773,0.32,Ideal,D,VS2,62.2,55.0,4.44,4.41,2.75,758
4056,0.31,Ideal,F,VVS1,61.8,56.0,4.37,4.39,2.71,857
53872,0.55,Premium,E,VS2,59.7,58.0,5.42,5.36,3.18,1980
89501,2.01,Good,J,SI1,63.6,58.0,7.98,8.09,5.1,13095
3097,2.01,Premium,F,SI2,62.9,58.0,8.01,7.94,4.99,17407
141956,0.9,Good,I,VS2,59.3,65.0,6.29,6.21,3.71,3238
139974,0.38,Premium,G,VS1,59.2,58.0,4.77,4.73,2.81,1084
84777,1.02,Premium,J,VS1,62.8,58.0,6.42,6.38,4.03,4475
157685,0.7,Ideal,G,SI1,62.4,56.0,5.66,5.69,3.54,2419
138373,1.16,Premium,G,VS2,61.1,56.0,6.74,6.76,4.13,6349
128021,1.36,Ideal,E,SI2,61.8,56.0,7.1,7.12,4.4,8190
57934,1.29,Ideal,G,SI1,59.4,57.0,7.17,7.11,4.24,6569
86654,0.52,Premium,J,SI1,61.3,57.0,5.19,5.16,3.17,1016
137921,1.18,Ideal,H,VS2,61.6,55.0,6.78,6.82,4.19,5562
170513,1.0,Good,I,SI1,64.2,58.0,6.22,6.25,3.99,3746
71060,0.71,Ideal,E,VS2,61.7,57.0,5.73,5.77,3.55,3024
29111,0.3,Premium,F,VS2,62.6,60.0,4.29,4.25,2.67,776
159546,0.37,Ideal,G,VS1,61.1,56.0,4.64,4.65,2.84,969
126317,1.5,Premium,E,SI2,59.9,59.0,7.46,7.41,4.44,7503
134712,0.32,Very Good,G,VS1,63.1,56.0,4.37,4.33,2.75,828
173122,0.9,Premium,F,SI2,62.0,51.0,6.11,6.18,3.81,3546
58350,1.01,Ideal,G,SI2,62.6,54.0,6.48,6.46,4.05,4667
123905,0.27,Ideal,E,VS2,61.4,56.0,4.14,4.17,2.56,470
8626,0.41,Ideal,D,SI1,61.9,55.0,4.78,4.81,2.96,748
132875,0.41,Ideal,E,VVS1,61.8,58.0,4.72,4.75,2.93,1056
81159,1.24,Premium,J,SI2,60.7,60.0,6.92,6.97,4.23,4197
132337,0.52,Premium,H,VS2,61.9,59.0,5.12,5.14,3.17,1389
68905,0.36,Good,E,SI1,57.9,56.0,4.74,4.78,2.75,631
180352,2.55,Ideal,G,SI2,62.6,57.0,8.65,8.6,5.42,15970
41676,0.91,Good,H,SI1,63.1,63.0,6.11,6.16,3.87,3418
136533,0.31,Premium,H,VVS1,60.2,58.0,4.43,4.39,2.65,907
134896,0.5,Ideal,G,SI1,62.3,54.0,5.12,5.09,3.19,1268
11692,0.6,Ideal,G,VS1,60.6,56.0,5.44,5.48,3.3,2120
20679,0.46,Premium,E,SI1,58.1,60.0,5.04,5.01,2.91,1353
74393,0.31,Ideal,G,VVS2,62.1,54.0,4.38,4.4,2.72,752
81243,0.32,Ideal,D,SI1,61.4,56.0,4.44,4.41,2.71,756
124209,1.01,Premium,I,SI2,61.9,59.0,6.44,6.39,3.96,3394
66262,1.1,Premium,F,SI2,62.9,57.0,6.6,6.55,4.13,4557
24556,0.52,Ideal,G,SI1,62.2,56.0,5.14,5.18,3.21,1351
47562,1.0,Good,E,SI2,63.7,58.0,6.38,6.34,4.05,3625
111204,0.32,Very Good,G,VVS1,59.9,57.9,4.47,4.49,2.68,789
75821,0.4,Very Good,F,SI1,63.4,58.0,4.68,4.72,2.98,737
160874,0.73,Ideal,H,VVS2,61.9,55.0,5.76,5.73,3.56,2913
72311,1.01,Very Good,F,SI2,63.6,54.0,6.34,6.38,4.05,3419
178199,1.69,Premium,I,VS2,62.7,58.0,7.58,7.51,4.74,10221
7340,2.01,Premium,H,SI1,60.1,58.0,8.18,8.13,4.89,15238
40608,0.3,Premium,G,VVS2,62.5,58.0,4.28,4.25,2.67,819
25424,1.07,Ideal,G,SI2,61.5,56.0,6.61,6.65,4.07,5012
158325,0.35,Ideal,D,VS2,60.5,57.0,4.58,4.53,2.75,1063
144274,1.22,Ideal,H,VS2,62.5,57.0,6.81,6.84,4.26,7826
4465,1.02,Ideal,F,SI2,61.9,57.0,6.4,6.46,3.98,4327
167712,1.01,Very Good,G,VS2,63.4,59.0,6.34,6.41,4.04,5679
60798,1.01,Good,I,SI2,63.7,59.0,6.29,6.32,4.02,3601
42398,0.52,Fair,E,SI1,64.4,61.0,5.05,5.02,3.25,1232
1322,1.52,Very Good,F,SI2,62.9,59.9,7.26,7.28,4.57,7932
165498,0.52,Ideal,E,VS1,61.3,56.0,5.14,5.18,3.16,1767
150161,0.47,Premium,G,SI2,58.7,60.0,5.16,5.12,3.0,784
98827,2.0,Very Good,J,SI1,63.5,56.0,7.87,7.91,5.07,12654
91244,0.52,Ideal,G,VS1,61.1,56.0,5.18,5.22,3.18,1837
2237,1.05,Premium,H,SI2,62.3,58.0,6.53,6.47,4.05,4050
188024,1.06,Very Good,J,SI1,62.5,59.0,6.49,6.56,4.08,4160
6400,0.54,Very Good,I,VS1,62.5,57.0,5.23,5.19,3.26,1386
161179,0.3,Premium,D,SI1,62.1,59.0,4.33,4.3,2.68,709
83594,0.59,Ideal,H,VVS2,62.1,55.0,5.4,5.41,3.36,1974
107559,0.4,Ideal,E,SI1,62.0,56.0,4.72,4.77,2.94,1026
147955,0.61,Ideal,F,VS1,62.8,57.0,5.4,5.43,3.4,2290
108428,0.77,Ideal,G,VVS2,61.8,57.0,5.9,5.87,3.64,3750
97589,0.5,Premium,H,VS2,62.6,58.0,5.09,5.04,3.16,1273
58123,0.7,Ideal,G,VVS1,61.5,56.0,5.71,5.75,3.52,3234
71892,0.9,Ideal,G,SI2,62.2,56.0,6.17,6.19,3.84,3721
44348,0.38,Ideal,F,VS2,62.2,56.0,4.6,4.64,2.87,1026
86126,0.32,Premium,D,VS2,61.5,58.0,4.39,4.42,2.71,972
93097,1.01,Premium,G,VS2,62.9,58.0,6.41,6.38,4.02,7130
128917,0.39,Premium,H,SI1,62.4,59.0,4.69,4.63,2.91,643
14083,0.92,Ideal,D,SI1,62.2,56.0,6.19,6.22,3.86,5538
150252,1.04,Ideal,H,SI1,62.8,56.0,6.42,6.46,4.04,4515
173864,0.33,Premium,F,VS2,61.5,60.0,4.46,4.42,2.73,668
79058,1.1,Very Good,I,SI1,62.2,59.0,6.57,6.62,4.11,4841
39535,2.01,Very Good,E,VS2,62.4,59.0,7.86,7.98,4.95,13853
137454,1.51,Premium,J,VS2,61.6,60.0,7.34,7.31,4.51,6750
124818,0.9,Good,D,SI2,63.9,62.0,6.12,6.03,3.88,3798
108001,1.51,Ideal,H,VVS1,61.0,56.0,7.45,7.4,4.53,14603
170012,0.3,Ideal,G,SI1,62.1,58.0,4.27,4.3,2.66,432
156948,0.38,Ideal,D,SI1,61.9,55.0,4.66,4.69,2.9,807
65904,0.57,Ideal,E,VS2,62.0,57.0,5.31,5.34,3.3,1789
126425,1.53,Premium,F,SI2,59.8,58.0,7.48,7.44,4.48,8770
74768,0.34,Ideal,H,VS2,61.2,57.0,4.51,4.47,2.75,689
149678,1.21,Ideal,F,VS1,62.1,56.0,6.8,6.86,4.24,8347
160032,0.26,Very Good,F,VS2,62.9,56.0,4.05,4.07,2.56,451
159008,1.52,Very Good,F,SI1,61.8,58.0,7.4,7.44,4.58,12621
127222,0.32,Very Good,G,VS2,63.1,57.0,4.31,4.34,2.72,561
164983,0.76,Ideal,F,VS1,61.4,56.0,5.89,5.94,3.63,3142
109090,1.03,Ideal,H,SI2,62.1,57.0,6.49,6.46,4.03,3931
141415,1.18,Ideal,F,VS1,62.1,55.0,6.76,6.8,4.21,9503
14463,0.52,Ideal,D,SI1,62.5,57.0,5.1,5.13,3.2,1593
52374,0.95,Very Good,E,SI2,63.4,59.0,6.25,6.2,3.95,3420
180288,1.23,Very Good,G,VVS2,61.3,56.0,6.88,6.92,4.23,8313
175726,0.3,Ideal,D,SI1,62.2,57.0,4.26,4.28,2.66,709
26661,0.31,Premium,G,VS2,62.6,60.0,4.31,4.35,2.71,544
22686,0.71,Ideal,G,SI1,61.8,56.0,5.69,5.74,3.53,2570
95765,0.57,Premium,D,SI1,61.8,57.0,5.31,5.34,3.29,1651
54645,1.06,Premium,I,SI1,62.3,56.0,6.58,6.52,4.08,4404
87619,0.7,Very Good,F,SI1,60.6,59.0,5.81,5.77,3.5,2312
60041,0.93,Premium,J,VS2,62.7,58.0,6.25,6.21,3.9,3321
141464,0.72,Very Good,J,SI2,63.1,58.0,5.64,5.67,3.57,1843
32538,0.3,Very Good,G,VVS2,62.9,58.0,4.28,4.26,2.69,878
170055,0.7,Premium,F,SI2,62.8,58.0,5.62,5.65,3.54,1901
134143,0.56,Ideal,E,SI1,61.4,56.0,5.3,5.33,3.26,1712
86642,0.73,Premium,F,VVS2,61.0,57.0,5.83,5.79,3.54,2898
102365,1.22,Premium,G,VVS1,60.4,58.0,6.95,6.93,4.19,10730
125717,1.01,Premium,F,VS2,61.9,59.0,6.42,6.37,3.96,6429
164908,0.31,Premium,G,VS2,61.4,60.0,4.38,4.35,2.68,698
77846,1.12,Ideal,I,VS1,61.1,56.0,6.74,6.76,4.13,5324
182159,0.55,Ideal,H,VS2,61.5,53.0,5.26,5.3,3.25,1314
63440,1.32,Ideal,I,VS1,62.1,55.0,7.02,7.05,4.36,7253
190987,0.33,Ideal,H,VVS1,62.4,55.0,4.46,4.43,2.78,789
108634,1.1,Premium,F,SI1,60.9,58.0,6.65,6.68,4.07,4786
127011,0.35,Ideal,G,VVS2,61.7,55.0,4.56,4.58,2.82,622
136519,0.4,Ideal,E,VS2,61.4,57.0,4.74,4.78,2.92,1053
90282,1.07,Premium,I,SI2,62.0,58.0,6.54,6.57,4.06,4371
8140,1.06,Very Good,G,VS1,59.3,57.0,6.65,6.71,3.96,6817
71044,0.41,Premium,G,VS1,60.9,57.0,4.77,4.74,2.9,961
130712,2.09,Premium,H,SI2,60.0,60.0,8.32,8.37,5.01,17156
